"date_vaccine_completed","province","cumulative_cvaccine"
"21-01-2021","Alberta",NA
"20-01-2021","Alberta",NA
"19-01-2021","Alberta",NA
"18-01-2021","Alberta",NA
"17-01-2021","Alberta",NA
"16-01-2021","Alberta",NA
"15-01-2021","Alberta",NA
"14-01-2021","Alberta",NA
"13-01-2021","Alberta",NA
"12-01-2021","Alberta",NA
"21-01-2021","BC",1680
"20-01-2021","BC",NA
"19-01-2021","BC",NA
"18-01-2021","BC",NA
"17-01-2021","BC",NA
"16-01-2021","BC",NA
"15-01-2021","BC",NA
"14-01-2021","BC",NA
"13-01-2021","BC",NA
"12-01-2021","BC",NA
"21-01-2021","Manitoba",3038
"20-01-2021","Manitoba",2594
"19-01-2021","Manitoba",2144
"18-01-2021","Manitoba",2144
"17-01-2021","Manitoba",2138
"16-01-2021","Manitoba",2138
"15-01-2021","Manitoba",2138
"14-01-2021","Manitoba",1660
"13-01-2021","Manitoba",1660
"12-01-2021","Manitoba",NA
"21-01-2021","New Brunswick",2567
"20-01-2021","New Brunswick",2567
"19-01-2021","New Brunswick",2567
"18-01-2021","New Brunswick",2567
"17-01-2021","New Brunswick",1862
"16-01-2021","New Brunswick",1862
"15-01-2021","New Brunswick",1862
"14-01-2021","New Brunswick",1862
"13-01-2021","New Brunswick",1862
"12-01-2021","New Brunswick",1862
"21-01-2021","NL",1737
"20-01-2021","NL",1737
"19-01-2021","NL",1495
"18-01-2021","NL",1495
"17-01-2021","NL",1495
"16-01-2021","NL",1495
"15-01-2021","NL",1495
"14-01-2021","NL",1495
"13-01-2021","NL",1495
"12-01-2021","NL",NA
"21-01-2021","Nova Scotia",2696
"20-01-2021","Nova Scotia",2507
"19-01-2021","Nova Scotia",2215
"18-01-2021","Nova Scotia",2200
"17-01-2021","Nova Scotia",2200
"16-01-2021","Nova Scotia",2200
"15-01-2021","Nova Scotia",2200
"14-01-2021","Nova Scotia",1076
"13-01-2021","Nova Scotia",1076
"12-01-2021","Nova Scotia",1076
"21-01-2021","Ontario",40225
"20-01-2021","Ontario",32361
"19-01-2021","Ontario",25609
"18-01-2021","Ontario",21752
"17-01-2021","Ontario",21714
"16-01-2021","Ontario",19333
"15-01-2021","Ontario",17094
"14-01-2021","Ontario",13293
"13-01-2021","Ontario",8778
"12-01-2021","Ontario",6064
"21-01-2021","PEI",1407
"20-01-2021","PEI",1407
"19-01-2021","PEI",1407
"18-01-2021","PEI",1154
"17-01-2021","PEI",1154
"16-01-2021","PEI",1154
"15-01-2021","PEI",1154
"14-01-2021","PEI",1154
"13-01-2021","PEI",1154
"12-01-2021","PEI",1154
"21-01-2021","Quebec",NA
"20-01-2021","Quebec",NA
"19-01-2021","Quebec",NA
"18-01-2021","Quebec",NA
"17-01-2021","Quebec",NA
"16-01-2021","Quebec",NA
"15-01-2021","Quebec",NA
"14-01-2021","Quebec",NA
"13-01-2021","Quebec",NA
"12-01-2021","Quebec",NA
"21-01-2021","Saskatchewan",3054
"20-01-2021","Saskatchewan",2592
"19-01-2021","Saskatchewan",2180
"18-01-2021","Saskatchewan",1752
"17-01-2021","Saskatchewan",1752
"16-01-2021","Saskatchewan",1752
"15-01-2021","Saskatchewan",1752
"14-01-2021","Saskatchewan",1752
"13-01-2021","Saskatchewan",1449
"12-01-2021","Saskatchewan",1449
"21-01-2021","NWT",NA
"20-01-2021","NWT",NA
"19-01-2021","NWT",NA
"18-01-2021","NWT",NA
"17-01-2021","NWT",NA
"16-01-2021","NWT",NA
"15-01-2021","NWT",NA
"14-01-2021","NWT",NA
"13-01-2021","NWT",NA
"12-01-2021","NWT",NA
"21-01-2021","Nunavut",NA
"20-01-2021","Nunavut",NA
"19-01-2021","Nunavut",NA
"18-01-2021","Nunavut",NA
"17-01-2021","Nunavut",NA
"16-01-2021","Nunavut",NA
"15-01-2021","Nunavut",NA
"14-01-2021","Nunavut",NA
"13-01-2021","Nunavut",NA
"12-01-2021","Nunavut",NA
"21-01-2021","Yukon",NA
"20-01-2021","Yukon",NA
"19-01-2021","Yukon",NA
"18-01-2021","Yukon",NA
"17-01-2021","Yukon",NA
"16-01-2021","Yukon",NA
"15-01-2021","Yukon",NA
"14-01-2021","Yukon",NA
"13-01-2021","Yukon",NA
"12-01-2021","Yukon",NA
